Date,Temperature AVG,Wind Speed Daily AVG
4/22/2015,25.03041667,12.7425
4/21/2015,27.65666667,20.89729167
4/20/2015,32.52625,3.4464583330000003
4/19/2015,32.94708333,2.4748333330000003
4/18/2015,32.19458333,8.654291667
4/17/2015,30.61708333,7.1242916670000005
4/16/2015,32.36833333,2.897208333
4/15/2015,26.8475,5.762583332999999
4/14/2015,6.937875,10.96245833
4/13/2015,14.16520833,53.663875
4/12/2015,13.93475,26.76316667
4/11/2015,6.834833333,46.41875
4/10/2015,16.15666667,53.59666667
4/9/2015,16.2075,10.51645833
4/8/2015,16.41375,2.303875
4/7/2015,14.55708333,7.771375
4/6/2015,12.19175,7.927541667000001
4/5/2015,8.220708333,5.4999583329999995
4/4/2015,9.569625,6.387333333
4/3/2015,9.291291667000001,24.59041667
4/2/2015,12.011875,5.377416667
4/1/2015,9.978625,9.908375
3/31/2015,11.25704167,29.21675
3/30/2015,26.51958333,51.45416667
3/29/2015,26.01375,23.634625
3/28/2015,19.02,34.58083333
3/27/2015,29.22708333,57.425
3/26/2015,35.42541667,23.57208333
3/25/2015,27.63916667,23.18458333
3/24/2015,13.90958333,10.37275
3/23/2015,10.855,17.00741667
3/22/2015,15.28416667,26.54208333
3/21/2015,13.60625,33.10083333
3/20/2015,22.85666667,65.85333333
3/19/2015,27.38791667,32.96583333
3/18/2015,24.46291667,2.828083333
3/17/2015,17.65666667,0.0
3/16/2015,18.13791667,0.0
3/15/2015,20.37458333,36.7425
3/14/2015,24.08583333,51.35583333
3/13/2015,30.96541667,48.43833333
3/12/2015,26.13333333,14.68033333
3/11/2015,21.5675,34.90541667
3/10/2015,29.7425,25.469375
3/9/2015,33.02833333,12.34270833
3/8/2015,33.745,10.19525
3/7/2015,31.91166667,6.339541667000001
3/6/2015,30.76583333,12.09995833
3/5/2015,29.34916667,4.898791667
3/4/2015,26.95666667,6.586916667000001
3/3/2015,21.28,11.4965
3/2/2015,11.89916667,7.130458332999999
3/1/2015,17.97708333,6.318125
2/28/2015,12.46304167,19.58083333
2/27/2015,12.06366667,15.758875
2/26/2015,19.34416667,15.12645833
2/25/2015,24.82125,10.76158333
2/24/2015,29.68125,17.92995833
2/23/2015,30.45041667,14.183125
2/22/2015,21.1575,18.71625
2/21/2015,11.92791667,17.233
2/20/2015,19.60166667,13.95104167
2/19/2015,21.43,11.609375
2/18/2015,33.91625,22.25041667
2/17/2015,39.2025,9.175958332999999
2/16/2015,33.95166667,12.48504167
2/15/2015,29.96458333,8.729708333
2/14/2015,25.71791667,12.4985
2/13/2015,32.82541667,24.52683333
2/12/2015,31.02916667,17.117125
2/11/2015,22.81333333,10.90254167
2/10/2015,22.44,1.545
2/9/2015,20.63666667,0.0
2/8/2015,20.00166667,0.0
2/7/2015,20.69583333,0.0
2/6/2015,22.32375,0.0
2/5/2015,24.48458333,0.0
2/4/2015,18.59458333,0.0
2/3/2015,17.69,4.723083333
2/2/2015,18.94625,34.23279167
2/1/2015,23.47291667,32.88875
1/31/2015,28.02,10.29258333
1/30/2015,27.86,4.405791667
1/29/2015,24.57416667,7.395958332999999
1/28/2015,23.08625,9.464208333
1/27/2015,28.15833333,32.72629167
1/26/2015,33.29791667,56.0375
1/25/2015,37.7425,41.44083333
1/24/2015,35.25083333,18.04845833
1/23/2015,28.25125,20.88708333
1/22/2015,26.0975,9.897958333
1/21/2015,24.54375,8.687208333
1/20/2015,16.65791667,0.48795833299999997
1/19/2015,11.786,11.65366667
1/18/2015,13.4925,45.28875
1/17/2015,23.25083333,39.32208333
1/16/2015,18.13,16.17491667
1/15/2015,21.16333333,53.72333333
1/14/2015,33.39625,9.4545
1/13/2015,29.1475,2.269916667
1/12/2015,19.60333333,3.946416667
1/11/2015,15.4225,8.212958333
1/10/2015,22.92375,20.243625
1/9/2015,31.25166667,8.326041667
1/8/2015,35.99458333,3.7060000000000004
1/7/2015,38.35833333,22.9045
1/6/2015,36.91,18.9625
1/5/2015,28.82333333,42.82541667
1/4/2015,20.74666667,43.28666667
1/3/2015,23.31416667,20.3775
1/2/2015,22.04666667,18.24470833
1/1/2015,29.23,6.537208333
12/31/2014,27.31125,9.69775
12/30/2014,14.16566667,0.0
12/29/2014,-0.165958333,0.0
12/28/2014,5.927916667000001,0.0
12/27/2014,12.8725,0.0
12/26/2014,20.10583333,0.0
12/25/2014,13.21125,0.0
12/24/2014,11.00533333,0.0
12/23/2014,23.07166667,0.0
12/22/2014,14.84441667,0.0
12/21/2014,16.09125,0.0
12/20/2014,20.02083333,0.0
12/19/2014,12.8275,0.0
12/18/2014,16.895,0.0
12/17/2014,16.06,0.0
12/16/2014,15.4425,0.0
12/15/2014,15.18966667,0.0
12/14/2014,8.964875,0.0
12/13/2014,8.911,0.0
12/12/2014,12.23516667,0.0
12/11/2014,18.42875,0.0
12/10/2014,23.34791667,0.0
12/9/2014,25.27833333,0.0
12/8/2014,21.90666667,0.0
12/7/2014,22.93208333,0.0
12/6/2014,18.28416667,0.0
12/5/2014,23.99541667,6.6955416670000005
12/4/2014,22.1175,20.85875
12/3/2014,24.33791667,14.252625
12/2/2014,27.25291667,2.100125
12/1/2014,14.02541667,0.0
11/30/2014,12.24941667,0.0
11/29/2014,1.961625,0.0
11/28/2014,18.71404167,0.0
11/27/2014,23.7375,0.0
11/26/2014,24.31666667,0.0
11/25/2014,26.11583333,21.11208333
11/24/2014,21.07166667,12.93054167
11/23/2014,11.93716667,17.59358333
11/22/2014,9.896625,15.54116667
11/21/2014,18.98041667,26.90875
11/20/2014,19.28583333,36.465
11/19/2014,28.20166667,16.40004167
11/18/2014,33.75416667,8.909416667
11/17/2014,32.71708333,3.826666667
11/16/2014,30.33083333,6.07925
11/15/2014,15.43754167,18.67866667
11/14/2014,12.03245833,11.02770833
11/13/2014,19.07791667,7.383125
11/12/2014,12.92320833,11.80975
11/11/2014,20.61958333,12.56066667
11/10/2014,17.77375,6.960958333
11/9/2014,21.96875,24.14166667
11/8/2014,39.67291667,17.16345833
11/7/2014,37.21333333,8.180333333
11/6/2014,24.1575,44.67270833
11/5/2014,30.67958333,46.05458333
11/4/2014,23.80583333,32.26416667
11/3/2014,24.32666667,28.65454167
11/2/2014,20.75791667,14.02491667
11/1/2014,15.9475,3.019208333
10/31/2014,21.77791667,15.77479167
10/30/2014,28.5125,30.2275
10/29/2014,22.24041667,21.86083333
10/28/2014,26.7025,19.26125
10/27/2014,17.52166667,0.0
10/26/2014,14.72125,0.0
10/25/2014,24.4025,0.0
10/24/2014,21.0,0.0
10/23/2014,18.59416667,0.0
10/22/2014,25.48541667,0.0
10/21/2014,20.90166667,0.0
10/20/2014,25.575,0.327958333
